title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Shut it Down | The West Wing,fI5a1ZpVugs,The West Wing,2024-07-28T11:00:38Z,"â€œThe meeting lasted six minutes. Thatâ€™s good, right?â€

Season 5 Episode 8: Shut Down

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,160899,1479,102,PT5M12S,hd,public
Iâ€™m Not Crazy About My Healthcare Plan | The West Wing,8Yg1kx0DYbI,The West Wing,2024-09-29T11:00:15Z,"â€œItâ€™s what I think will pass.â€

Season 7 Episode 7: The Debate 

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,27981,406,83,PT4M58S,hd,public
The West Wing - Josh Gets Shot Supercut,aMvZP8Ru1xc,Dex,2021-04-16T23:54:35Z,"This is one of my favorite sequences from one of my favorite shows of all time and I didn't see a video on YouTube with the full sequence so here we are. I do apologize if the title spoiled anything for someone who hasn't watched it. If you haven't seen it, I strongly recommend you do. It's available on HBOMAX.

This footage is the property of NBC Universal, Warner Brothers & HBOMAX.","the west wing,josh lyman,josh gets sho,josh gets show the west wing,donna josh,donna josh shot,toby finds josh,jed bartlett,toby ziegler,aaron sorkin,leo mcgary,in the shadow of two gunmen,Toby finds Josh shot West Wing,west wing supercut",1,1335286,5791,412,PT4M29S,hd,public
The West Wing: Shots Fired On The White House,YAPqqfUJEVU,Ryan Felmingham,2011-10-07T10:53:55Z,Someone shooting at the White House. Season 4 Episode 20.,"The,West,Wing,White,House,Shooting",24,4635511,15372,1547,PT2M58S,sd,public
C.J.'s Comebacks | The West Wing,dYuv86il3Pk,Warner Bros. TV,2023-05-23T17:21:24Z,"#thewestwing

The West Wing is now streaming on Max.

Intense and dedicated presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country with fictional Democratic President Josiah ""Jed"" Bartlet.",,24,598867,3743,160,PT7M34S,hd,public
THE WEST WING EP 11 Lord John Marbury OPENING,NnF86fcp62k,Entertainment Stop,2023-10-08T21:00:25Z,"Please like share and subscribe to  my channel. THANKYOU

credit Warner Brothers",,24,135696,868,92,PT4M19S,sd,public
"The West Wing: Ainsley Hayes - ""I'm sorry, did I overreach?""",Ys2ZM9BF3qY,Russell J. Prahinski,2019-11-16T21:38:48Z,"Episode 4: In This White House
2000/Season 2: #DramCom #TVseries
Creator: Aaron Sorkin
Starring: Emily Procter, Rob Lowe, Ted McGinley, Bradley Whitford, Richard Schiff","Film,Comedy,Entertainment",24,254397,1592,171,PT4M6S,hd,public
I Never Get to Make This Call | The West Wing,FWV8qB3Jn60,The West Wing,2024-05-17T19:00:07Z,"â€œThat is a job well done.â€

Season 1 Episode 22: What Kind Of Day Has It Been?

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,518398,4919,459,PT5M11S,hd,public
The 'Game On' Debate | The West Wing,sS4UAZ5UfGY,Warner Bros. TV,2024-05-28T15:00:37Z,"The West Wing is now streaming on Max.

ABOUT: Intense and dedicated presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country with fictional Democratic President Josiah ""Jed"" Bartlet.",,22,484312,3831,483,PT9M16S,hd,public
The National Archives: Yet Another Historical Event | The West Wing,zjY6G9xAkUA,The West Wing,2024-07-27T18:00:32Z,"â€œBecause there are levels and an order to our air force command, and to jump from a radar officer to the commander-in-chief would skip several of those levels.â€

WATCH NOW: MAX
https://www.max.com/shows/west-wing/31fff0eb-9628-4b27-9be0-1669c440f210

Subscribe now: 
https://www.youtube.com/channel/UC_O3t-MSO3_31ls9rBvqslQ

This is the official â€œTHE WEST WINGâ€ channel! Stay up to date on President Jed Bartlet and his White House staffâ€™s most inspiring, unforgettable moments.

#TheWestWing #VoteBartlet  #Drama #JedBartlet #AaronSorkin #MartinSheen","#TheWestWing,#drama,JedBartlet,#AaronSorkin,#sam seaborn,#cj cregg,#jed bartlet,#Donna Moss,#DulÃ© Hill,#abbey Bartlet",22,160600,1402,92,PT56M51S,hd,public
