slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre,imdb_title_id,imdb_episode_count,imdb_avg_rating,imdb_weighted_avg_rating,imdb_total_votes,imdb_best_episode_rating,imdb_best_episode_title
street_outlaws,Street Outlaws,Show,WBD,Max,Discovery Australia,,,,97.0M,,,0.0M,,https://www.facebook.com/StreetOutlaws,3.2M,0,$0 ,$0 ,15,157,Clips on Discovery YT,,tt3027156,,,,,,
survivor,Survivor,Show,CBS,Paramount+,,455K,"1,166",3/18/2013,,1.1M,2.4,13.2M,"$26,400 ",https://www.facebook.com/Survivor,3.1M,10,"$26,400 ","$52,800 ",,,,,tt0239195,,,,,,
the_amazing_race,Amazing Race,Show,CBS,Paramount+,,77K,"1,313",1/26/2023,,5.4M,70.1,64.8M,"$129,600 ",https://www.facebook.com/amazingrace,1.4M,0,"$129,600 ","$259,200 ",,,,,tt0285335,,,,,,
the_brady_bunch,The Brady Bunch,Show,CBS,Paramount+,,22K,598,6/8/2023,115.9M,0.6M,27.3,7.2M,"$14,400 ",https://www.facebook.com/TheBradyBunch,0.4M,10,"$14,400 ","$28,800 ",,,,,tt0063878,,,,,,
the_drew_barrymore_show,The Drew Barrymore Show,Show,CBS,Paramount+,,"1,290K","4,905",7/30/2019,,10.2M,7.9,122.4M,"$244,800 ",https://www.facebook.com/TheDrewBarrymoreShow,3.2M,10,"$244,800 ","$489,600 ",,,,,tt10827252,,,,,,
the_fbi_files,FBI Files,Show,Independent (New Dominon),,https://www.youtube.com/@TheFBIFiles/videos,946K,524,9/12/2019,277.6M,3.4M,3.6,40.8M,"$81,600 ",https://www.facebook.com/TheFBIFiles,0.3M,0,,,,,Managed by Little Dot. YT looks active but FB is inactive as of 10/2024,,tt0309152,,,,,,
the_jerry_springer_show,Jerry Springer,Show,NBCU,Peacock,https://www.youtube.com/@JerrySpringerTV,"3,080K","2,777",10/22/2010,,10.3M,3.3,123.1M,"$246,120 ",https://www.facebook.com/JerrySpringer,5.7M,10,"$246,120 ","$492,240 ",,,Longer clips on YT (5-10mins posted frequently). Same content posted on FB. Good strategy.,,tt0120974,,,,,,
the_joan_rivers_show,,,,,,,,,,,,,,,,,,,,,,,tt0262164,,,,,,
the_sopranos,The Sopranos,Show,WBD,Max,HBO,,,,,,,0.0M,,https://www.facebook.com/TheSopranos,2.3M,0,$0 ,$0 ,,,Clips on HBO YT.,,tt0141842,,,,,,
the_west_wing,The West Wing,Show,WBD,Max,https://www.youtube.com/@TheWestWing,52K,329,4/24/2024,163.0M,1.8M,33.7,21.0M,"$42,096 ",https://www.facebook.com/TheWestWingTVShow,0.4M,2,"$42,096 ","$84,192 ",7,154,,,tt0200276,,,,,,
the_x_files,The X-Files,Show,Disney/Fox,Disney+/Hulu,https://www.youtube.com/@THEXFILESFOX,66K,148,10/5/2015,182.0M,0.0M,0.6,0.5M,$937 ,https://www.facebook.com/OfficialTheXFiles,1.8M,1,,,,,,,tt0106179,,,,,,
toddlers_and_tiaras,,,,,,,,,,,,,,,,,,,,,,,tt1364951,,,,,,
undercover_boss,Undercover Boss,Show,CBS,Paramount+,https://www.youtube.com/@undercoverboss,40K,137,6/12/2013,,0.0M,0.2,0.1M,$168 ,https://www.facebook.com/UndercoverBossCBS,0.5M,0,$168 ,$336 ,,,Last FB post in April for season end?,,tt1442553,,,,,,
unsolved_mysteries,Unsolved Mysteries,Show,FilmRise,,https://www.youtube.com/@UnsolvedMysteriesFullEpisodes,393K,412,2/7/2017,57.6M,1.4M,3.6,16.8M,"$33,600 ",,,,,,,,,,tt0094574,,,,,,
