slug,Show,Type,IP Owner,Streaming,YT Channel,YT Subs,Uploads,Created,YT Views (top 600 videos),YT Views (last 30 days),YT Views/Sub,Estimated Yearly Views,Estimated YT Yearly Earnings,FB Channel,FB followers,FB post frequency (last 2 weeks),Estimated FB Yearly Earnings,Estimated Total Earnings,Seasons,Episodes,Notes,Genre
i_love_lucy,I Love Lucy,Show,CBS,Paramount+,https://www.youtube.com/@ILoveLucyShow,15K,338,8/6/2024,,1.5M,97.9,17.5M,"$35,016 ",,,,,,,,,
impractical_jokers,Impractical Jokers,Show,WBD,Max,TruTV,,,,"1,000.0M",,,0.0M,,https://www.facebook.com/ImpracticalJokers,4.9M,5,$0 ,$0 ,,,Clips on Discovery YT,
in_living_color,In Living Color,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
invincible,Invincible,Show,Amazon,Prime,???,,,,,,,,,https://www.facebook.com/Invincibleuniverse,0.1M,10,,,,,,
its_always_sunny_in_philadelphia,It's Always Sunny in Philadelphia,Show,Disney/Fox,Disney+/Hulu,https://www.youtube.com/@AlwaysSunny,13K,10,7/1/2010,,0.0M,0.1,0.0M,$20 ,https://www.facebook.com/alwayssunny,3.2M,4,,,,,Channels seem official but not much activity. Clips on FX Networks YT channel.,
judge_judy,Judge Judy,Show,CBS,Pluto,https://www.youtube.com/@JudgeJudy,764K,"2,500",1/15/2021,335.0M,33.9M,44.4,406.7M,"$813,384 ",https://www.facebook.com/JudgeJudy,3.6M,10,"$813,384 ","$1,626,768 ",,,,
karamo_show,Karamo,Show,NBCU,Peacock,https://www.youtube.com/@KaramoShow,992K,"1,437",2/28/2022,,8.0M,8.1,96.4M,"$192,768 ",https://www.facebook.com/KaramoShow,1.4M,10,"$192,768 ","$385,536 ",,,Longer clips on YT (5-10mins posted frequently). Same content posted on FB. Good strategy.,
keeping_up_with_the_kardashians,Keeping up with the Kardashians,Show,NBCU,Peacock,https://www.youtube.com/@KUWTK,"2,120K","1,133",3/22/2019,,8.4M,3.9,100.3M,"$200,640 ",https://www.facebook.com/kardskatchup,9.2M,10,,,,,,
key_and_peele,Key & Peele,Show,CBS,Netflix,https://www.youtube.com/@keyandpeele,529K,532,1/2/2019,,30.1M,56.9,361.5M,"$722,976 ",https://www.facebook.com/KeyAndPeele,5.0M,7,"$722,976 ","$1,445,952 ",,,,
king_of_the_hill,King of the Hill,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,https://www.facebook.com/KingOfTheHillTV,0.2M,0,,,,,,
kitchen_nightmares,Kitchen Nightmares,Show,iTV,Peacock,https://www.youtube.com/@kitchennightmares,"6,700K","1,839",8/4/2008,,40.3M,6,484.0M,"$967,920 ",https://www.facebook.com/KitchenNightmares,4.6M,10,"$967,920 ","$1,935,840 ",,,,
la_law,L.A. Law,Show,Disney/Fox,Disney+/Hulu,,,,,,,,,,,,,,,,,,
laff,Laff,Channel,Scripps,0,https://www.youtube.com/@Laff_TV,1K,51,7/14/2023,,0.0M,0,0.0M,$0 ,https://www.facebook.com/lafftvnetwork,0.2M,0,$0 ,$0 ,,,,
life_below_zero,Life Below Zero,Show,Disney,Disney+/Hulu,NatGeo YT,,,,,,,,,https://www.facebook.com/LifeBelowZero,0.4M,3,$0 ,$0 ,,,Clips and Full Eps on NatGeo channel,
lifestyles_of_the_rich_and_famous,,,,,,,,,,,,,,,,,,,,,,
lifetime,Lifetime,Channel,A+E,,https://www.youtube.com/@Lifetime,"6,450K","11,031",3/5/2006,,22.3M,3.5,267.1M,"$534,192 ",https://www.facebook.com/lifetime,5.8M,10,"$534,192 ","$1,068,384 ",,,,
little_women,Little Women,Show,Lifetime,,,,,,,,,,,https://www.facebook.com/LittleWomenLifetime,2.2M,10,0,$0 ,,,,
live_pd,Live PD,Show,A+E,,,,,,,,,,,https://www.facebook.com/OfficialLivePD,4.2M,0,0,$0 ,,,,
lost_tv_show,Lost,Show,Disney,Hulu,ABC,,,,205.4M,,,0.0M,,https://www.facebook.com/LOST,8.3M,1,$0 ,$0 ,,,Clips on ABC YT channel,
