title,video_id,channel_title,publish_time,description,tags,category_id,view_count,like_count,comment_count,duration,definition,privacy_status
Unsolved Mysteries with Robert Stack - Season 1 Episode 4 - Full Episode,8WEY25G5lbk,Unsolved Mysteries - Full Episodes,2019-02-28T21:34:57Z,"This episode includes: Queen Mary Ghost Ship, Update: Carlucci, Two Strikes & UD and Personals Pt. 1 & 2 & UD.","FilmRise,Free TV,Free,Unsolved Mysteries,Robert Stack,Queen Mary Ghost Ship,Queen Mary,Ghosts,Ghost Ship,Paranormal,Supernatural,Joseph Shepherd,Personals,Gail DeLano",24,1016344,7735,1607,PT46M7S,sd,public
"Unsolved Mysteries with Robert Stack - Season 5, Episode 1 - Full Episode",NBiYdJkD6bk,Unsolved Mysteries - Full Episodes,2019-03-08T22:04:34Z,"This episode includes: Tami Lynn, Hudson Valley UFO, Pts. 1 & 2, Daredevil Doe & UD.",,24,1013227,8198,2472,PT42M5S,sd,public
Unsolved Mysteries with Robert Stack - Season 1 Episode 2 - Full Episode,lS5L5WcobWo,Unsolved Mysteries - Full Episodes,2019-02-28T21:34:51Z,"This episode includes: Badlands & UD, Sixty Miles, McFall and Mail Call & UD.","Unsolved Mysteries,Robert Stack,Missing,Mystery,Murder,Wanted,Free TV,Television,Classic Television,Classic TV,FilmRise,Missy Munday,Jerry Strickland,Dorothy Allison,Steve Hadley,WWII,Paranormal,Psychic,Mysteries,Detective",24,976481,7667,2217,PT50M38S,sd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 24 - Full Episode",3JaTk_KrUDU,Unsolved Mysteries - Full Episodes,2019-03-08T22:04:29Z,"This episode includes: Broken Hearts & UD, Burning Car & UD, Armored Car Killings & UD, Amnesia Victim.",,24,957487,8303,1188,PT44M49S,sd,public
"Unsolved Mysteries with Robert Stack - Season 12, Episode 8 - Updated Full Episode",ZcpCTiN0Bh4,Unsolved Mysteries - Full Episodes,2021-07-27T16:30:14Z,"This episode includes: California Killings, Donna on Fire & UD, Fallon Illnesses.

Hosted by Robert Stack, this series uses re-enactments and interviews to retell the circumstances of, well, mysteries that are unsolved. Includes case updates.

#unsolvedmysteries #classicepisodes #original #robertstack #dennisfarina","True Crime,Unsolved Mysteries,Robert Stack,Update",1,908528,7165,927,PT44M24S,sd,public
Unsolved Mysteries with Robert Stack - Season 1 Episode 3 - Full Episode,MFhcslbT1i0,Unsolved Mysteries - Full Episodes,2019-02-28T21:34:54Z,"This episode includes: Amnesia & UD, Carlucci & UD, Math Teacher Escape & UD and Beale's Cypher.","FilmRise,Unsolved Mysteries,Robert Stack,Full Episodes,Free TV,Free,Doreen Picard,Louis Carlucci,Robert Weeks,Roger Wheeler,Diane Brodbeck,Jon Yount,Beale's Treasure,Beale ciphers,Beale Papers,Beale,Thomas J. Beale",24,895816,7183,1640,PT46M3S,sd,public
"Unsolved Mysteries with Robert Stack - Season 4, Episode 15 - Full Episode",Df_7oIrgQAk,Unsolved Mysteries - Full Episodes,2019-03-08T22:03:58Z,"This episode includes: Mystery Hitchhiker, Anchors Away, Lucky Lost Love & UD, Vegas Rapist & UD.",,24,891506,7510,1867,PT48M44S,sd,public
"Unsolved Mysteries with Robert Stack - Season 6, Episode 11 - Full Episode",enRO60zS6b8,Unsolved Mysteries - Full Episodes,2019-03-11T21:36:15Z,"This episode includes: Murder 101, Who Saved My Life? & UD, Payback Killer and Death & Disappearance.",,24,828492,6128,924,PT48M23S,sd,public
"Unsolved Mysteries with Robert Stack - Season 5, Episode 12 - Full Episode",5ndfHFFi_xw,Unsolved Mysteries - Full Episodes,2019-03-08T22:05:03Z,"This episode includes: Martin Luther King Pts. 1 & 2, Surprise Sister & UD, Texas Most Wanted & UD.",,24,761848,7194,1923,PT52M24S,sd,public
Unsolved Mysteries with Robert Stack - Season 1 Episode 19 - Full Episode,Bn9LPysekzY,Unsolved Mysteries - Full Episodes,2019-02-28T21:35:44Z,"This episode includes: Bank Tunnel, Life After Life Pts. 1 & 2, Update: Red Lake Heir and Repairman Death.","Unsolved Mysteries with Robert Stack,Unsolved Mysteries,Robert Stack,Full Episodes,True Crime,Crime,Mysteries,Free,Free TV",24,746627,6325,1116,PT45M35S,sd,public
"Unsolved Mysteries with Robert Stack - Season 6, Episode 12 - Full Episode",X4nl9MUWmGE,Unsolved Mysteries - Full Episodes,2019-03-11T21:36:17Z,"This episode includes: Armando Garcia & UD, Suddenly Siblings & UD, A Couple of Good Men and Canadian Camper.",,24,738496,5351,N/A,PT48M49S,sd,public
"Unsolved Mysteries with Robert Stack - Season 3, Episode 15 - Full Episode",I29V4AAhAkU,Unsolved Mysteries - Full Episodes,2019-03-07T17:37:18Z,"This episode includes: Teen Tragedy, Update: Jim and Tammi, State Department Murder, Lost Adams Diggings.",,24,728234,5692,1239,PT43M33S,sd,public
