slug,show_title,start_year,imdb_title_id,imdb_primary_title,imdb_start_year,confidence_score,needs_review,match_status,top_candidates
life_below_zero,Life Below Zero,,tt2964642,Life Below Zero,2013,125,no,auto_match,tt2964642:Life Below Zero(2013)[125] | tt15257940:Life Below Zero: First Alaskans(2022)[25] | tt13049144:Life Below Zero: Next Generation(2020)[25] | tt16409608:Life Below Zero: Canada(2020)[25] | tt8390648:Life Behind Life Below Zero(2018)[5]
live_pd,Live PD,,tt6225166,Live PD,2016,125,no,auto_match,tt6225166:Live PD(2016)[125] | tt11142824:Live PD: Wanted(2019)[25] | tt8694866:Live PD Presents PD Cam(2018)[25] | tt9028892:Live PD: Women on Patrol(2018)[25] | tt6914160:Live PD: Police Patrol(2017)[25]
love_island_usa,Love Island USA,,tt8819906,Love Island USA,2019,125,no,auto_match,tt8819906:Love Island USA(2019)[125]
modern_family,Modern Family,,tt1442437,Modern Family,2009,125,no,auto_match,tt1442437:Modern Family(2009)[125] | tt4998566:Balancing Act: Portraits of the Modern Family(2015)[5]
naked_and_afraid,Naked and Afraid,,tt3007640,Naked and Afraid,2013,125,no,auto_match,tt3007640:Naked and Afraid(2013)[125] | tt37492943:Naked and Afraid: Apocalypse(2025)[25] | tt26753382:Naked and Afraid: Solo(2023)[25] | tt27462910:Naked and Afraid: Last One Standing(2023)[25] | tt28310762:Naked and Afraid: Castaways(2023)[25]
new_girl,New Girl,,tt1826940,New Girl,2011,125,no,auto_match,tt1826940:New Girl(2011)[125] | tt4687724:New Girls on the Block(2015)[25] | tt9061862:New Girl POV(2015)[25] | tt35436917:LA New Girl(2016)[5] | tt3326016:Brave New Girls(2014)[5]
nypd_blue,NYPD Blue,,tt0106079,NYPD Blue,1993,125,no,auto_match,tt0106079:NYPD Blue(1993)[125]
parks_and_recreation,Parks and Recreation,,tt1266020,Parks and Recreation,2009,125,no,auto_match,tt1266020:Parks and Recreation(2009)[125] | tt2138881:Parks and Recreation: Road Trip(2011)[25]
pawn_stars,Pawn Stars,,tt1492088,Pawn Stars,2009,125,no,auto_match,tt1492088:Pawn Stars(2009)[125] | tt22751192:Pawn Stars Do America(2022)[25] | tt16120446:Pawn Stars: Best of(2021)[25] | tt5051996:Pawn Stars Australia(2015)[25] | tt11992686:Pawn Stars South Africa(2014)[25]
queens_court,Queens Court,,tt26703401,Queens Court,2023,125,no,auto_match,tt26703401:Queens Court(2023)[125]
seinfeld,Seinfeld,,tt0098904,Seinfeld,1989,125,no,auto_match,tt0098904:Seinfeld(1989)[125] | tt5885804:Seinfeld: Inside Look(2004)[25] | tt4941390:Community Theater: Seinfeld the Musical(2015)[5] | tt18469402:The Jerry Seinfeld Program(2010)[5] | tt6046716:Searching for Jerry Seinfeld(<NA>)[5]
sister_wives,Sister Wives,,tt1721666,Sister Wives,2010,125,no,auto_match,tt1721666:Sister Wives(2010)[125]
six_feet_under,Six Feet Under,,tt0248654,Six Feet Under,2001,125,no,auto_match,tt0248654:Six Feet Under(2001)[125] | tt15326024:Six Feet Underground with Reaper(2021)[25] | tt29099185:Six Feet Under Anthology(<NA>)[25] | tt16390600:Untitled Six Feet Under/HBO Project(<NA>)[5]
south_park,South Park,,tt0121955,South Park,1997,125,no,auto_match,tt0121955:South Park(1997)[125] | tt4703214:South Park Barn Dance(1949)[25] | tt18765722:The Normies: South Park Reactions(2016)[5] | tt5779340:Vennori: South Park - The Stick of Truth(2014)[5]
southern_charm,Southern Charm,,tt2815522,Southern Charm,2013,125,no,auto_match,tt2815522:Southern Charm(2013)[125] | tt6845424:Southern Charm New Orleans(2018)[25] | tt6936928:Southern Charm Savannah(2017)[25] | tt23385200:Southern Charms(1997)[25]
storage_wars,Storage Wars,,tt1785123,Storage Wars,2010,125,no,auto_match,tt1785123:Storage Wars(2010)[125] | tt6904118:Storage Wars: Northern Treasures(2017)[25] | tt31216023:Storage Wars France: Enchères surprises(2015)[25] | tt5205136:Storage Wars: Miami(2015)[25] | tt5464972:Storage Wars: Barry Strikes Back(2015)[25]
street_outlaws,Street Outlaws,,tt3027156,Street Outlaws,2013,125,no,auto_match,tt3027156:Street Outlaws(2013)[125] | tt24328068:Street Outlaws: OKC(2023)[25] | tt27605637:Street Outlaws: Locals Only(2023)[25] | tt28282863:Street Outlaws: Mega Cash Days: After Hours(2023)[25] | tt30068856:Street Outlaws vs the World(2023)[25]
the_brady_bunch,The Brady Bunch,,tt0063878,The Brady Bunch,1969,125,no,auto_match,tt0063878:The Brady Bunch(1969)[125] | tt0075485:The Brady Bunch Variety Hour(1976)[25]
the_curse_of_oak_island,The Curse of Oak Island,,tt3455408,The Curse of Oak Island,2014,125,no,auto_match,tt3455408:The Curse of Oak Island(2014)[125] | tt5233094:The Curse of Oak Island: Drilling Down(2015)[25]
the_drew_barrymore_show,The Drew Barrymore Show,,tt10827252,The Drew Barrymore Show,2020,125,no,auto_match,tt10827252:The Drew Barrymore Show(2020)[125]
the_gentle_art_of_swedish_death_cleaning,The Gentle Art of Swedish Death Cleaning,,tt19401412,The Gentle Art of Swedish Death Cleaning,2023,125,no,auto_match,tt19401412:The Gentle Art of Swedish Death Cleaning(2023)[125]
the_incredible_dr_pol,The Incredible Dr. Pol,,tt2136396,The Incredible Dr. Pol,2011,125,no,auto_match,tt2136396:The Incredible Dr. Pol(2011)[125]
the_proof_is_out_there,The Proof Is Out There,,tt13951868,The Proof is Out There,2021,125,no,auto_match,tt13951868:The Proof is Out There(2021)[125] | tt37783705:The Proof Is Out There: UnXplained Edition(2025)[25] | tt32032875:The Proof Is Out There: Military Mysteries(2024)[25] | tt32678729:The Proof Is Out There: Alien Edition(2024)[25] | tt22778412:The Proof Is Out There: Skinwalker Edition(2022)[25]
the_real_housewives_of_orange_county,The Real Housewives of Orange County,,tt0497079,The Real Housewives of Orange County,2006,125,no,auto_match,tt0497079:The Real Housewives of Orange County(2006)[125]
the_simpsons,The Simpsons,,tt0096697,The Simpsons,1989,125,no,auto_match,tt0096697:The Simpsons(1989)[125] | tt12294152:The Simpsons: Tracey Ullman Shorts(1987)[25] | tt29137461:Inside the Simpsons(2023)[5] | tt6207716:Simpsonville: The Real Springfield of the Simpsons(<NA>)[5]
the_sopranos,The Sopranos,,tt0141842,The Sopranos,1999,125,no,auto_match,tt0141842:The Sopranos(1999)[125] | tt32254668:Wise Guy: David Chase and the Sopranos(2024)[5]
the_steve_wilkos_show,The Steve Wilkos Show,,tt1084587,The Steve Wilkos Show,2007,125,no,auto_match,tt1084587:The Steve Wilkos Show(2007)[125]
the_walking_dead,The Walking Dead,,tt1520211,The Walking Dead,2010,125,no,auto_match,tt1520211:The Walking Dead(2010)[125] | tt31596542:The Walking Dead: The Ones Who Live: Cast Diaries(2024)[25] | tt13062500:The Walking Dead: Daryl Dixon(2023)[25] | tt18546730:The Walking Dead: Dead City(2023)[25] | tt21314206:The Walking Dead: Last Mile(2022)[25]
the_west_wing,The West Wing,,tt0200276,The West Wing,1999,125,no,auto_match,tt0200276:The West Wing(1999)[125]
the_xfiles,The X-Files,,tt0106179,The X-Files,1993,125,no,auto_match,tt0106179:The X-Files(1993)[125] | tt12993266:The X-Files: Albuquerque(<NA>)[25]
toddlers__tiaras,Toddlers & Tiaras,,tt1364951,Toddlers & Tiaras,2009,125,no,auto_match,tt1364951:Toddlers & Tiaras(2009)[125]
two_and_a_half_men,Two And A Half Men,,tt0369179,Two and a Half Men,2003,125,no,auto_match,tt0369179:Two and a Half Men(2003)[125]
vanderpump_rules,Vanderpump Rules,,tt2343157,Vanderpump Rules,2013,125,no,auto_match,tt2343157:Vanderpump Rules(2013)[125] | tt27520139:Vanderpump Rules: Watch with Brittany Cartwright and Jax Taylor(2022)[25] | tt5297244:Vanderpump Rules After Show(2015)[25] | tt6566966:Vanderpump Rules After Show(2013)[25] | tt28241688:Vanderpump Rules Spinoff(<NA>)[25]
veep,Veep,,tt1759761,Veep,2012,125,no,auto_match,tt1759761:Veep(2012)[125] | tt3529926:Veep: Season 2 - Invitation to the Set(2013)[25] | tt1068919:Meet the Veep(1953)[5]
vikings,Vikings,,tt2306299,Vikings,2013,125,no,auto_match,tt2306299:Vikings(2013)[125] | tt11311302:Vikings: Valhalla(2022)[25] | tt15518830:Vikings: The Rise and Fall(2022)[25] | tt19817616:Vikings and Trolls(2022)[25] | tt28970972:Vikings. Les Premiers Rois(2022)[25]
24,24,,tt2792284,24: India,2013,125,yes,auto_match,tt2792284:24: India(2013)[125] | tt0285331:24(2001)[125] | tt36022750:24 Awr Newidiodd Gymru (24 Hours That Changed Wales)(2025)[25] | tt31976132:24 in 24: Last Chef Standing(2024)[25] | tt34866738:24 stjerners julekalender(2024)[25]
30_rock,30 Rock,,tt0496424,30 Rock,2006,125,yes,auto_match,tt0496424:30 Rock(2006)[125] | tt1860375:30 Rock(1983)[125] | tt1663354:30 Rock: Cerie's Vlog(2010)[25] | tt6666386:30 Rock: Donaghy Uncovered(2010)[25] | tt6604606:30 Rock: Frank vs. Lutz(2009)[25]
alone,Alone,,tt8806772,Alone,2018,125,yes,auto_match,tt8806772:Alone(2018)[125] | tt4803766:Alone(2015)[125] | tt21867112:Alone(<NA>)[125] | tt21867298:Alone(<NA>)[125] | tt30317224:Alone Germany(2024)[25]
american_chopper,American Chopper,,tt2069135,American Chopper: Senior vs. Junior,2010,25,yes,auto_match,tt2069135:American Chopper: Senior vs. Junior(2010)[25] | tt0364779:American Chopper: The Series(2002)[25]
american_dad,American Dad,,tt0397306,American Dad!,2005,25,yes,auto_match,tt0397306:American Dad!(2005)[25]
americas_most_wanted,America's Most Wanted,,tt31023165,America's Most Wanted,2024,125,yes,auto_match,tt31023165:America's Most Wanted(2024)[125] | tt11710016:America's Most Wanted(2021)[125] | tt0094415:America's Most Wanted: America Fights Back(1988)[125] | tt37206145:America's Most Wanted: Missing Persons(2025)[25] | tt7852098:America's Most Wanted: Valenko & Balachov(2004)[25]
angel,Angel,,tt26218006,Angel,2023,125,yes,auto_match,tt26218006:Angel(2023)[125] | tt20859776:Angel(2022)[125] | tt14230110:Angel(2021)[125] | tt0162065:Angel(1999)[125] | tt0053480:Angel(1960)[125]
beyond_the_headlines,Beyond The Headlines,,tt28440938,Beyond the Headlines,2023,125,yes,auto_match,tt28440938:Beyond the Headlines(2023)[125] | tt10014372:Beyond the Headlines(2010)[125] | tt6101230:Beyond the Headlines(1989)[125] | tt12844464:Beyond the Headlines: Moments that Matter(2020)[25] | tt5618886:Beyond the Headlines with Cheryl Jennings(1979)[25]
big_bang_theory,Big Bang Theory,,tt5612894,The Big Bang Theory After Show,2015,5,yes,auto_match,tt5612894:The Big Bang Theory After Show(2015)[5] | tt0898266:The Big Bang Theory(2007)[5]
blind_date,Blind Date,,tt12740704,Blind Date,2020,125,yes,auto_match,tt12740704:Blind Date(2020)[125] | tt10133044:Blind Date(2019)[125] | tt38525212:Blind Date(2017)[125] | tt7778448:Blind Date(2016)[125] | tt1785791:Blind Date(2010)[125]
bones,Bones,,tt21098696,Bones,2021,125,yes,auto_match,tt21098696:Bones(2021)[125] | tt0460627:Bones(2005)[125] | tt32881332:Bones' Horror Video Store & Drive In(2024)[25] | tt35232679:Bones and Friends(2022)[25] | tt11322730:Bones of Steel(2020)[25]
bride__prejudice,Bride & Prejudice,,tt9643014,Bride & Prejudice,2018,125,yes,auto_match,tt9643014:Bride & Prejudice(2018)[125] | tt6819032:Bride & Prejudice(2017)[125] | tt6740426:Bride & Prejudice(2016)[125] | tt12676328:Bride & Prejudice: Forbidden Love(2020)[25]
charmed,Charmed,,tt6394324,Charmed,2018,125,yes,auto_match,tt6394324:Charmed(2018)[125] | tt0158552:Charmed(1998)[125] | tt36941218:Charmed by the Devil(2025)[25] | tt33306695:Charmed Roblox TV show(2024)[25] | tt13837040:Charmed: Demons(2022)[25]
cold_case_files,Cold Case Files,,tt6459472,Cold Case Files,2017,125,yes,auto_match,tt6459472:Cold Case Files(2017)[125] | tt0426666:Cold Case Files(1999)[125] | tt35834125:Cold Case Files: Dead West(2025)[25] | tt35182952:Cold Case Files: Murder in the Bayou(2024)[25] | tt28090238:Cold Case Files: DNA Speaks(2023)[25]
eurovision,Eurovision,,tt36603567,Eurovision Weekly,2025,25,yes,auto_match,"tt36603567:Eurovision Weekly(2025)[25] | tt32314059:Eurovision Night(2024)[25] | tt13948936:Eurovision France, c'est vous qui décidez(2021)[25] | tt11892036:Eurovision Song Contest: Antistrofi metrisi(2020)[25] | tt10263466:Eurovision Song Contest Tel Aviv 2019(2019)[25]"
friends,Friends,,tt32270287,Friends,2021,125,yes,auto_match,tt32270287:Friends(2021)[125] | tt13231394:Friends(2015)[125] | tt0315608:Friends(2002)[125] | tt0108778:Friends(1994)[125] | tt0078615:Friends(1979)[125]
futurama,Futurama,,tt0149460,Futurama,1999,125,yes,auto_match,tt0149460:Futurama(1999)[125] | tt8964678:Futurama(1964)[125]
gold_rush,Gold Rush,,tt1800864,Gold Rush,2010,125,yes,auto_match,tt1800864:Gold Rush(2010)[125] | tt0892856:Gold Rush(2006)[125] | tt0254022:Gold Rush(1989)[125] | tt13610512:Gold Rush: Mine Rescue with Freddy & Juan(2021)[25] | tt14966112:Gold Rush: Winter's Fortune(2021)[25]
gypsy_rose,Gypsy Rose,,tt32104649,Gypsy Rose: Life After Lock Up,2024,25,yes,auto_match,tt32104649:Gypsy Rose: Life After Lock Up(2024)[25] | tt0051278:The Gypsy Rose Lee Show(1965)[5]
hells_kitchen,Hell's Kitchen,,tt8123454,Hell's Kitchen,2018,125,yes,auto_match,tt8123454:Hell's Kitchen(2018)[125] | tt0437005:Hell's Kitchen(2005)[125] | tt0412137:Hell's Kitchen(2004)[125] | tt31100281:Hell's Kitchen Hrvatska(2024)[25] | tt33203833:Hell's Kitchen Cesko(2024)[25]
hoarders,Hoarders,,tt5520942,Hoarders,2016,125,yes,auto_match,tt5520942:Hoarders(2016)[125] | tt1497563:Hoarders(2009)[125] | tt28515408:Millionaire Hoarders(2023)[5] | tt7880732:Video Hoarders(2017)[5] | tt2148216:Britain's Biggest Hoarders(2012)[5]
impractical_jokers,Impractical Jokers,,tt3845452,Impractical Jokers,2012,125,yes,auto_match,tt3845452:Impractical Jokers(2012)[125] | tt2100976:Impractical Jokers(2011)[125] | tt37241686:Impractical Jokers(<NA>)[125] | tt20070748:Impractical Jokers Anniversary Show(2022)[25] | tt20114628:Impractical Jokers Award Show(2022)[25]
in_living_color,In Living Color,,tt2333579,In Living Color,2012,125,yes,auto_match,tt2333579:In Living Color(2012)[125] | tt0098830:In Living Color(1990)[125]
invincible,Invincible,,tt32614281,Invincible,2023,125,yes,auto_match,tt32614281:Invincible(2023)[125] | tt6741278:Invincible(2021)[125] | tt7795964:Invincible(2018)[125] | tt1264469:Invincible(2008)[125] | tt12960080:Invincible(<NA>)[125]
jerry_springer,Jerry Springer,,tt0214353,Jerry Springer UK,1999,25,yes,auto_match,tt0214353:Jerry Springer UK(1999)[25] | tt30701389:Jerry Let Me at That Guest the Jerry Springer Show February 13(2013)[5] | tt6220962:Over You I'm with Her Jerry Springer(2013)[5] | tt0290970:Late Night with Jerry Springer(2000)[5] | tt0120974:The Jerry Springer Show(1991)[5]
karamo,Karamo,,tt12287880,Karamora,2022,25,yes,auto_match,tt12287880:Karamora(2022)[25] | tt26444812:Karamo Show(2022)[25] | tt34057832:My Treasure(2024)[0]
kitchen_nightmares,Kitchen Nightmares,,tt32436778,Kitchen Nightmares,2023,125,yes,auto_match,tt32436778:Kitchen Nightmares(2023)[125] | tt0983514:Kitchen Nightmares(2007)[125] | tt22495310:Kitchen Nightmares Australia(2022)[25] | tt0409608:Ramsay's Kitchen Nightmares(2004)[5]
little_women,Little Women,,tt21828868,Little Women,2022,125,yes,auto_match,tt21828868:Little Women(2022)[125] | tt0300877:Little Women(1981)[125] | tt11112452:Little Women(1979)[125] | tt0259785:Little Women(1958)[125] | tt0259784:Little Women(1950)[125]
lost,Lost,,tt14609588,Lost,2021,125,yes,auto_match,tt14609588:Lost(2021)[125] | tt28133543:Lost(2010)[125] | tt0411008:Lost(2004)[125] | tt0292816:Lost(2001)[125] | tt0485299:Lost(2001)[125]
married_at_first_sight,Married At First Sight,,tt15254812,Married at First Sight,2016,125,yes,auto_match,tt15254812:Married at First Sight(2016)[125] | tt3868860:Married at First Sight(2014)[125] | tt38892577:Married at first sight UK Does Come Dine with Me(2025)[25] | tt37599730:Married at First Sight: Mzansi(2024)[25] | tt28481413:Married at First Sight: Couples Couch(2023)[25]
mountain_men,Mountain Men,,tt2202488,Mountain Men,2012,125,yes,auto_match,tt2202488:Mountain Men(2012)[125] | tt32174914:Mountain Men(1986)[125] | tt29763247:Mountain Men: Alaska(2023)[25] | tt23785134:Mountain Men: Ultimate Marksman(2022)[25]
prison_break,Prison Break,,tt29730749,Prison Break,2026,125,yes,auto_match,tt29730749:Prison Break(2026)[125] | tt0455275:Prison Break(2005)[125] | tt0825355:Prison Break: Proof of Innocence(2006)[25] | tt15493158:The Prison Breaker(2021)[5] | tt11662972:Blind Wave: Prison Break Reaction(2017)[5]
sabrina_the_teenage_witch,Sabrina The Teenage Witch,,tt0115341,Sabrina the Teenage Witch,1996,125,yes,auto_match,tt0115341:Sabrina the Teenage Witch(1996)[125] | tt0066707:Sabrina the Teenage Witch(1971)[125]
