video_id	show_slug	is_ugc	ugc_type	curated_label
H41anTg3uA4	the_sopranos	1		
VI5DZ1wooic	the_sopranos	1		
CKLor3gpaPo	the_sopranos	1		
urmTykZ47QA	the_sopranos	1		
C6MFJwuTZII	the_sopranos	1		
E6oejtywWNg	the_sopranos	1		
isJRRqtyz_U	the_sopranos	1		
OpTQPmKwuWg	the_sopranos	1		
TpLjJ3NYKJM	the_sopranos	1		
tR4TSC5bgFc	the_sopranos	1		
fODA1mJ9Zxw	the_sopranos	1		
BiKeWtqTEYA	the_sopranos	1		
PYUXWe7pK6s	the_sopranos	1		
H8GKEPfMOAM	the_sopranos	1		
fR9JK-JKCxQ	the_sopranos	1		
WAmdGESG0vc	the_sopranos	1		
bxzoarD1LGk	the_sopranos	1		
z85o_yGK5sc	the_sopranos	1		
BNr1mlYRgq8	the_sopranos	1		
XJaU0u29AYo	the_sopranos	1		
q75El8Eb5UY	the_sopranos	1		
7WARje-CyK4	the_sopranos	1		
LuUBQBUTMRM	the_sopranos	1		
5aZr0x4rmOk	the_sopranos	1		
kStISuIScJ4	the_sopranos	1		
WM834QPrYPI	the_sopranos	1		
Xmn6DFSqzKE	the_sopranos	1		
c41Y37o4Vho	the_sopranos	1		
PIQhbiU8V3M	the_sopranos	1		
rLOE4Ob2dTA	the_sopranos	1		
ENInhb_5FYs	the_sopranos	1		
uGt_yFQ4vQQ	the_sopranos	1		
Za_uBAHr8kI	the_sopranos	1		
3ikhWBvtyTs	the_sopranos	1		
9UM4F9TPWVs	the_sopranos	1		
Hkscjmllm7w	the_sopranos	1		
6JWKiqGgPiU	the_sopranos	1		
fHZ8FYDJNLA	the_sopranos	1		
m6GvDtpQc2c	the_sopranos	1		
qgEVBf9LKb4	the_sopranos	1		
ZVGgRfoH8s8	the_sopranos	1		
fKbu2tZMKvU	the_sopranos	1		
T6IcMTlq8KQ	the_sopranos	1		
G3bYw-1dh6g	the_sopranos	1		
tB4pu5iegbQ	the_sopranos	1		
6cc_PXxUmuE	the_sopranos	1		
_bwAtutrgiE	the_sopranos	1		
tzI_modY8U8	the_sopranos	1		
pMNZAGIHiPo	the_sopranos	1		
mb8pKovDhA4	the_sopranos	1		
78qUekUGJog	the_sopranos	1		
dZ-McG23w8Q	the_sopranos	1		
WyYtJ0GoASI	the_sopranos	1		
GvCLw8RbKmA	the_sopranos	1		
3NrCox_Fy14	the_sopranos	1		
mKxbs5-FI6I	the_sopranos	1		
u-lGmUK4X3A	the_sopranos	1		
JzKpfBK4Noo	the_sopranos	1		
THuGmrJcn0s	the_sopranos	1		
S7U_8I-CJnA	the_sopranos	1		
8cCqC9BoDgk	the_sopranos	1		
LYgTyrotPXE	the_sopranos	1		
i_HxT_bHllA	the_sopranos	1		
egxdEYp7CII	the_sopranos	1		
6bnCCZ7gKSg	the_sopranos	1		
o7faUNBd7gU	the_sopranos	1		
SNxr_QDiK4E	the_sopranos	1		
Hkr5yzGqYOQ	the_sopranos	1		
DUIfM06T8ss	the_sopranos	1		
WQhjtY_PxW4	the_sopranos	1		
Lwb8GBS1usk	the_sopranos	1		
h25yvIHyVkQ	the_sopranos	1		
67v8lzOr39c	the_sopranos	1		
W2FTRQfIxaM	the_sopranos	1		
8l1l15b7vR4	the_sopranos	1		
3USfPfTKoFY	the_sopranos	1		
YkNPs2QqLFA	the_sopranos	1		
OMCsNSIa658	the_sopranos	1		
m7A7ew3_V_E	the_sopranos	1		
Jj3g6CCNB-A	the_sopranos	1		
sQwoedNexR4	the_sopranos	1		
lL71GX_ZUsg	the_sopranos	1		
KmZoovdVR2M	the_sopranos	1		
Q4bSgma4sd4	the_sopranos	1		
sTIwV4wmVqg	the_sopranos	1		
5a5S7PK3Cy4	the_sopranos	1		
dmpEEr_Ek18	the_sopranos	1		
RZoKOPRk9pw	the_sopranos	1		
pDDCQol6FFQ	the_sopranos	1		
b7A6EwcPZvk	the_sopranos	1		
